slope_angle,altitude_change,weather_severity,trail_difficulty,path_width_m,visibility_km,risk_level
11.60934072833945,-24.448624099179085,2,1,4.092104087178091,6.412660218314743,Safe
14.634335274551338,104.45588079614117,2,2,2.384340898026638,11.755789068433508,Safe
5.561970363488719,170.70599553944072,2,2,4.46828483981249,11.651212982409966,Safe
3.4085808267716535,21.833914806333922,1,2,4.4828935159777465,14.474965986830973,Safe
11.371316101280607,-58.18961274805267,2,1,4.679363363966593,16.67575245610643,Safe
2.9195806177795136,-13.311598509186325,1,1,2.4628684762026434,15.245734298636819,Safe
11.171432338617256,187.003892973684,1,1,3.1113791181046064,12.043337169137118,Safe
2.8420703862642855,-148.03139786581136,1,2,2.6807280471526522,15.047209920237655,Safe
6.557278783084961,133.07127842313497,2,2,2.937099924146123,17.483897020928016,Safe
12.071465362452027,-45.00864838793021,1,2,4.047486511924927,7.096287254139647,Safe
2.9986230371266247,-197.0550920995978,2,2,3.994552569776096,15.577480679395027,Safe
11.710935465329518,-16.43368978466401,2,2,2.4193909943829723,6.717951103039601,Safe
10.026044426857075,-11.561517542746998,2,2,4.294996572248077,14.520774800008862,Safe
8.303691009869937,23.682864298165413,1,2,2.092453503703818,11.550760838485434,Safe
3.218770092292938,-36.588542510145544,2,2,2.7018184575960222,5.87454112533599,Safe
4.220758380329948,-82.56249689332655,2,1,3.671096457023835,16.7584731365962,Safe
9.964703104910813,-37.44525542397179,2,1,2.5009187597231115,5.3406810970079075,Safe
1.3507179116346264,88.94374023858012,1,2,2.4838153371008054,12.515671626550454,Safe
2.2846815406975263,78.52815003109441,1,1,3.1430636782894474,9.522681337218149,Safe
9.454238896783327,-55.27495577864383,1,2,2.354017706361546,19.428464968242718,Safe
13.628710360614106,79.88285352429983,1,1,4.907529132043171,16.68126355948692,Safe
10.753352837384934,-20.25539914248452,1,2,2.2891728864604977,18.539035948157625,Safe
6.836644347504166,-119.05465408190787,1,2,3.737658706825688,7.651591744088476,Safe
12.849214261385633,103.40781193408407,2,1,3.296279119325311,14.409632610536647,Safe
8.761469533691034,59.938640621928016,1,2,3.247422206511829,5.624212607928387,Safe
7.409862288667784,-68.05551506688587,1,2,2.3102089031676547,13.81466858266568,Safe
2.5588945280532913,170.0480473507189,2,2,3.0406094136045114,13.863732372221252,Safe
0.34205806544546247,183.42368529657813,1,1,4.3482056817508585,6.240949998836578,Safe
7.299874962572405,-3.7172022581916337,2,1,3.7151841571282262,12.102341015854307,Safe
4.0046349463784034,-67.37240106297912,2,2,3.31673438091514,5.324181198204957,Safe
12.394378862915367,158.46430873590668,1,2,3.662108430617148,6.628636117031653,Safe
10.083601395597176,-87.50648646439667,2,1,4.180983842860648,16.529712378764856,Safe
1.6161141893384485,166.40473805504314,1,2,2.1122376685285396,13.32278704087225,Safe
5.563834257936581,131.91589725296524,2,1,2.951416678468146,19.293490926046175,Safe
4.3637675721017795,6.022851692685805,1,2,4.80813071014689,7.469117263730272,Safe
0.6736592908849348,-25.961175998784825,2,2,4.675031798764742,16.229120291854237,Safe
13.361887363177873,157.3786558791453,2,1,2.947787155492379,16.58018648166482,Safe
9.924918947516415,-50.536908450515966,1,2,4.240368834047078,8.93690773884297,Safe
14.052197258006688,-103.6117699977261,1,1,4.493338016374718,7.299264749367411,Safe
2.6890246223660865,39.75311660833739,2,2,2.5893039971437197,9.654855093501421,Safe
11.661072573617663,188.73057042438694,2,1,2.4316925076537523,5.209044315623023,Safe
3.444840449982829,-147.27111288539157,2,1,2.365497513885593,12.594948974309496,Safe
10.413936534643296,32.44664368836095,1,1,4.412373578546788,15.731106944237025,Safe
11.084760058733126,-147.5768993770747,1,1,4.782687653019523,10.96367290737411,Safe
4.514230376714096,-4.5663818593866665,2,2,4.86686977114091,9.296693403230826,Safe
13.872126439680407,-190.0562034454975,2,2,3.9019253350432552,6.588461056261299,Safe
2.1050939559586896,-32.35427227347847,2,1,3.7881276597031186,18.995348324003167,Safe
12.06541373419456,-13.047359377883396,2,2,2.053510351930963,6.637159951486025,Safe
12.441429223241045,118.72683533006472,1,1,3.5923087717971605,14.090237310500164,Safe
13.016084306640167,41.24286293549028,1,1,3.122552130221548,11.388231295602647,Safe
9.778965383699612,146.99625270092997,1,1,2.743518688854074,8.549935444963717,Safe
11.190214203651696,126.62750536956418,1,2,2.1996765708655346,13.916504956346778,Safe
